Session_ID,Block_ID,IO_Offset,IO_Size,Op_Name,User
2023-03-19 06:58,4047732596,7384307,1048576,2,region5_312948047
2023-03-19 06:58,4047732596,7384307,1048576,2,region5_312948047
2023-03-19 06:58,4047830402,0,7911784,2,region5_312948041
2023-03-19 06:58,4047724622,0,7405507,3,region5_312948042
2023-03-19 06:58,4047893729,0,1447417,2,region5_312948046
2023-03-19 06:58,4047723621,0,8481568,5,region5_312948057
2023-03-19 06:58,4047950835,0,2763023,2,region5_312948047
2023-03-19 06:58,4047684174,6160649,1206525,2,region5_312948041
2023-03-19 06:58,4047976722,5931744,67584,2,region5_312948043
2023-03-19 06:58,4047783519,0,20525810,3,region5_312948051
2023-03-19 06:58,4047955249,0,971528,2,region5_312948041
2023-03-19 06:58,4047892683,0,8388608,5,region5_312948039
2023-03-19 06:58,4048040628,0,8080069,2,region5_312948046
2023-03-19 06:58,4047886873,0,398611,2,region5_312948041
2023-03-19 06:58,4047886873,6688009,23,2,region5_312948041
2023-03-19 06:58,4047776868,7460320,126272,2,region5_312948043
2023-03-19 06:58,4047677238,1706092,1048576,2,region5_312948047
2023-03-19 06:58,4047973996,0,2038615,5,region5_312948039
2023-03-19 06:58,4047677238,1706092,1048576,2,region5_312948047
2023-03-19 06:58,4048118823,5242880,1048576,5,region5_312948039
2023-03-19 06:58,4047777705,7937472,48,2,region5_312948043
2023-03-19 06:58,4048118823,6291456,1048576,5,region5_312948039
2023-03-19 06:58,4048118823,7340032,1048576,5,region5_312948039
2023-03-19 06:58,4048027470,0,8388608,5,region5_312948039
2023-03-19 06:58,4048118823,8388608,92960,5,region5_312948039
2023-03-19 06:58,4048140500,1021364,7367244,2,region5_312948041
2023-03-19 06:58,4048269311,10485760,1048576,1,region5_312948042
2023-03-19 06:58,4047966542,0,8388608,5,region5_312948039
2023-03-19 06:58,4048269311,11534336,1048576,1,region5_312948042
2023-03-19 06:58,4048154768,0,8388608,4,region5_312948056
2023-03-19 06:58,4048269311,12582912,1048576,1,region5_312948042
2023-03-19 06:58,4047881498,0,8388608,2,region5_312948041
2023-03-19 06:58,4047722910,1099234,812635,2,region5_312948041
2023-03-19 06:58,4048076304,6397351,1991257,2,region5_312948041
2023-03-19 06:58,4048269311,13631488,1048576,1,region5_312948042
2023-03-19 06:58,4047722910,0,872057,2,region5_312948041
2023-03-19 06:58,4048269311,14680064,1048576,1,region5_312948042
2023-03-19 06:58,4048269311,15728640,1048576,1,region5_312948042
2023-03-19 06:58,4048224073,0,1048576,5,region5_312948039
2023-03-19 06:58,4048224073,1048576,1048576,5,region5_312948039
2023-03-19 06:58,4048269311,16777216,1048576,1,region5_312948042
2023-03-19 06:58,4047777730,0,1700621,2,region5_312948051
2023-03-19 06:58,4048269311,17825792,1048576,1,region5_312948042
2023-03-19 06:59,4047827577,0,61317,2,region5_312948047
2023-03-19 06:59,4047827577,0,61317,2,region5_312948047
2023-03-19 06:59,4047997269,0,4947729,2,region5_312948041
2023-03-19 06:59,4048224073,2097152,1048576,5,region5_312948039
2023-03-19 06:59,4048269311,18874368,1048576,1,region5_312948042
2023-03-19 06:59,4048418262,1027953,7360655,2,region5_312948041
2023-03-19 06:59,4048418262,0,8388608,2,region5_312948041
2023-03-19 06:59,4047775743,6730528,7040,2,region5_312948043
2023-03-19 06:59,4047827577,0,61317,2,region5_312948047
2023-03-19 06:59,4047937683,0,5580160,2,region5_312948049
2023-03-19 06:59,4048084866,0,8388231,3,region5_312948047
2023-03-19 06:59,4048224073,3145728,1048576,5,region5_312948039
2023-03-19 06:59,4048300199,1354292,7066,2,region5_312948047
2023-03-19 06:59,4048269311,19922944,1048576,1,region5_312948042
2023-03-19 06:59,4047937683,5580208,2901360,2,region5_312948049
2023-03-19 06:59,4047937683,5580160,2901408,2,region5_312948049
2023-03-19 06:59,4048075264,0,3282726,2,region5_312948051
2023-03-19 06:59,4048158227,0,2390966,1,region5_312948042
2023-03-19 06:59,4048224073,4194304,1048576,5,region5_312948039
2023-03-19 06:59,4047970586,1463356,49016,2,region5_312948041
2023-03-19 06:59,4047970586,6806962,11065,2,region5_312948041
2023-03-19 06:59,4048224073,5242880,1048576,5,region5_312948039
2023-03-19 06:59,4048269311,20971520,1048576,1,region5_312948042
2023-03-19 06:59,4048224073,6291456,1048576,5,region5_312948039
2023-03-19 06:59,4048269311,22020096,1048576,1,region5_312948042
2023-03-19 06:59,4048187105,0,1048576,5,region5_312948039
2023-03-19 06:59,4048187105,1048576,1048576,5,region5_312948039
2023-03-19 06:59,4048224073,7340032,1048576,5,region5_312948039
2023-03-19 06:59,4048269311,23068672,1048576,1,region5_312948042
2023-03-19 06:59,4048303091,0,5514209,4,region5_312948048
2023-03-19 06:59,4048075264,3282726,5105882,2,region5_312948051
2023-03-19 06:59,4048379839,0,1048576,5,region5_312948039
2023-03-19 06:59,4048448650,693968,7787600,2,region5_312948043
2023-03-19 06:59,4048448650,693920,7787648,2,region5_312948043
2023-03-19 06:59,4048187105,2097152,1048576,5,region5_312948039
2023-03-19 06:59,4048269311,24117248,1048576,1,region5_312948042
2023-03-19 06:59,4048324290,8456157,512000,2,region5_312948043
2023-03-19 06:59,4048283015,0,816345,2,region5_312948051
2023-03-19 06:59,4048187105,3145728,1048576,5,region5_312948039
2023-03-19 06:59,4048379839,1048576,1048576,5,region5_312948039
2023-03-19 06:59,4047946023,0,8289474,3,region5_312948042
2023-03-19 06:59,4048372714,673177,1205447,2,region5_312948041
2023-03-19 06:59,4048379839,2097152,1048576,5,region5_312948039
2023-03-19 06:59,4048187105,4194304,1048576,5,region5_312948039
2023-03-19 06:59,4048372714,3080003,1480377,2,region5_312948041
2023-03-19 06:59,4048379839,4194304,1048576,5,region5_312948039
2023-03-19 06:59,4048379839,3145728,1048576,5,region5_312948039
2023-03-19 06:59,4048187105,5242880,1048576,5,region5_312948039
2023-03-19 06:59,4048525181,0,6447540,2,region5_312948046
2023-03-19 06:59,4048542675,0,5793896,3,region5_312948042
2023-03-19 06:59,4047826518,0,5419931,4,region5_312948054
2023-03-19 06:59,4048339801,4934433,2620571,2,region5_312948041
2023-03-19 06:59,4048339801,6506428,1048576,2,region5_312948041
2023-03-19 06:59,4048701236,5386240,2138112,2,region5_312948050
2023-03-19 06:59,4048187105,6291456,1048576,5,region5_312948039
2023-03-19 06:59,4048339801,0,4744125,2,region5_312948041
2023-03-19 06:59,4048631681,0,8388608,2,region5_312948044
2023-03-19 06:59,4048688628,0,7827472,3,region5_312948042
2023-03-19 06:59,4048701236,7524352,864256,2,region5_312948050
2023-03-19 06:59,4048062860,7262288,501925,2,region5_312948046
2023-03-19 06:59,4048062860,0,13692,2,region5_312948046
